唯一id,品质,最大星级,效果ID,职业类型,职业分支,职业阶段,升星条件,增加战力,熔炼返还材料,神器重铸消耗,批次id,开服天数区间
14401,3,2,1:11237:21237:41335;2:11239:21239:41336,1,2,3,14391|1:1|100000;14401|1:1|200000,,48|60;14391|1:1|100000:48|60;14391|1:14401|1:1|200000:48|60,,,
14402,3,2,1:12129:22129:42330;2:12131:22131:42331,4,1,3,14392|1:1|100000;14402|1:1|200000,,48|60;14392|1:1|100000:48|60;14392|1:14402|1:1|200000:48|60,,,
14403,3,2,1:12233:22233:42335;2:12235:22235:42336,4,2,3,14393|1:1|100000;14403|1:1|200000,,48|60;14393|1:1|100000:48|60;14393|1:14403|1:1|200000:48|60,,,
14404,3,2,1:13130:23130:43330;2:13132:23132:43331,3,1,3,14394|1:1|100000;14404|1:1|200000,,48|60;14394|1:1|100000:48|60;14394|1:14404|1:1|200000:48|60,,,
14405,3,2,1:13234:23234:43335;2:13236:23236:43336,3,2,3,14395|1:1|100000;14405|1:1|200000,,48|60;14395|1:1|100000:48|60;14395|1:14405|1:1|200000:48|60,,,
14406,3,2,1:14130:24130:44330;2:14132:24132:44331,2,1,3,14396|1:1|100000;14406|1:1|200000,,48|60;14396|1:1|100000:48|60;14396|1:14406|1:1|200000:48|60,,,
14407,3,2,1:14234:24234:44335;2:14236:24236:44336,2,2,3,14397|1:1|100000;14407|1:1|200000,,48|60;14397|1:1|100000:48|60;14397|1:14407|1:1|200000:48|60,,,
14408,3,2,1:15131:25131:45330;2:15133:25133:45331,5,1,3,14398|1:1|100000;14408|1:1|200000,,48|60;14398|1:1|100000:48|60;14398|1:14408|1:1|200000:48|60,,,
14409,3,2,1:15234:25234:45335;2:15236:25236:45336,5,2,3,14399|1:1|100000;14409|1:1|200000,,48|60;14399|1:1|100000:48|60;14399|1:14409|1:1|200000:48|60,,,
14410,3,3,1:11133:21133:41330;2:11136:21136:41331;3:11135:21135:41332,1,1,3,14390|1:1|100000;14400|1:1|200000;14410|1:1|400000,,48|100;14390|1:1|100000:48|100;14390|1:14400|1:1|200000:48|100;14390|1:14400|1:14410|1:1|400000:48|100,,,
14411,3,3,1:11237:21237:41335;2:11239:21239:41336;3:11240:21240:41337,1,2,3,14391|1:1|100000;14401|1:1|200000;14411|1:1|400000,,48|100;14391|1:1|100000:48|100;14391|1:14401|1:1|200000:48|100;14391|1:14401|1:14411|1:1|400000:48|100,,,
14412,3,3,1:12129:22129:42330;2:12131:22131:42331;3:12132:22132:42332,4,1,3,14392|1:1|100000;14402|1:1|200000;14412|1:1|400000,,48|100;14392|1:1|100000:48|100;14392|1:14402|1:1|200000:48|100;14392|1:14402|1:14412|1:1|400000:48|100,,,
14413,3,3,1:12233:22233:42335;2:12235:22235:42336;3:12236:22236:42337,4,2,3,14393|1:1|100000;14403|1:1|200000;14413|1:1|400000,,48|100;14393|1:1|100000:48|100;14393|1:14403|1:1|200000:48|100;14393|1:14403|1:14413|1:1|400000:48|100,,,
14414,3,3,1:13130:23130:43330;2:13132:23132:43331;3:13133:23133:43332,3,1,3,14394|1:1|100000;14404|1:1|200000;14414|1:1|400000,,48|100;14394|1:1|100000:48|100;14394|1:14404|1:1|200000:48|100;14394|1:14404|1:14414|1:1|400000:48|100,,,
14415,3,3,1:13234:23234:43335;2:13236:23236:43336;3:13237:23237:43337,3,2,3,14395|1:1|100000;14405|1:1|200000;14415|1:1|400000,,48|100;14395|1:1|100000:48|100;14395|1:14405|1:1|200000:48|100;14395|1:14405|1:14415|1:1|400000:48|100,,,
14416,3,3,1:14130:24130:44330;2:14132:24132:44331;3:14133:24133:44332,2,1,3,14396|1:1|100000;14406|1:1|200000;14416|1:1|400000,,48|100;14396|1:1|100000:48|100;14396|1:14406|1:1|200000:48|100;14396|1:14406|1:14416|1:1|400000:48|100,,,
14417,3,3,1:14234:24234:44335;2:14236:24236:44336;3:14237:24237:44337,2,2,3,14397|1:1|100000;14407|1:1|200000;14417|1:1|400000,,48|100;14397|1:1|100000:48|100;14397|1:14407|1:1|200000:48|100;14397|1:14407|1:14417|1:1|400000:48|100,,,
14418,3,3,1:15131:25131:45330;2:15133:25133:45331;3:15132:25132:45332,5,1,3,14398|1:1|100000;14408|1:1|200000;14418|1:1|400000,,48|100;14398|1:1|100000:48|100;14398|1:14408|1:1|200000:48|100;14398|1:14408|1:14418|1:1|400000:48|100,,,
14419,3,3,1:15234:25234:45335;2:15236:25236:45336;3:15237:25237:45337,5,2,3,14399|1:1|100000;14409|1:1|200000;14419|1:1|400000,,48|100;14399|1:1|100000:48|100;14399|1:14409|1:1|200000:48|100;14399|1:14409|1:14419|1:1|400000:48|100,,,
14420,3,4,1:11133:21133:41330;2:11136:21136:41331;3:11135:21135:41332;4:11134:21134:41333,1,1,3,14390|1:1|100000;14400|1:1|200000;14410|1:1|400000;14420|1:1|800000,,48|200;14390|1:1|100000:48|200;14390|1:14400|1:1|200000:48|200;14390|1:14400|1:14410|1:1|400000:48|200;14390|1:14400|1:14410|1:14420|1:1|800000:48|200,,,
14421,3,4,1:11237:21237:41335;2:11239:21239:41336;3:11240:21240:41337;4:11238:21238:41338,1,2,3,14391|1:1|100000;14401|1:1|200000;14411|1:1|400000;14421|1:1|800000,,48|200;14391|1:1|100000:48|200;14391|1:14401|1:1|200000:48|200;14391|1:14401|1:14411|1:1|400000:48|200;14391|1:14401|1:14411|1:14421|1:1|800000:48|200,,,
14422,3,4,1:12129:22129:42330;2:12131:22131:42331;3:12132:22132:42332;4:12130:22130:42333,4,1,3,14392|1:1|100000;14402|1:1|200000;14412|1:1|400000;14422|1:1|800000,,48|200;14392|1:1|100000:48|200;14392|1:14402|1:1|200000:48|200;14392|1:14402|1:14412|1:1|400000:48|200;14392|1:14402|1:14412|1:14422|1:1|800000:48|200,,,
14423,3,4,1:12233:22233:42335;2:12235:22235:42336;3:12236:22236:42337;4:12234:22234:42338,4,2,3,14393|1:1|100000;14403|1:1|200000;14413|1:1|400000;14423|1:1|800000,,48|200;14393|1:1|100000:48|200;14393|1:14403|1:1|200000:48|200;14393|1:14403|1:14413|1:1|400000:48|200;14393|1:14403|1:14413|1:14423|1:1|800000:48|200,,,
14424,3,4,1:13130:23130:43330;2:13132:23132:43331;3:13133:23133:43332;4:13131:23131:43333,3,1,3,14394|1:1|100000;14404|1:1|200000;14414|1:1|400000;14424|1:1|800000,,48|200;14394|1:1|100000:48|200;14394|1:14404|1:1|200000:48|200;14394|1:14404|1:14414|1:1|400000:48|200;14394|1:14404|1:14414|1:14424|1:1|800000:48|200,,,
14425,3,4,1:13234:23234:43335;2:13236:23236:43336;3:13237:23237:43337;4:13235:23235:43338,3,2,3,14395|1:1|100000;14405|1:1|200000;14415|1:1|400000;14425|1:1|800000,,48|200;14395|1:1|100000:48|200;14395|1:14405|1:1|200000:48|200;14395|1:14405|1:14415|1:1|400000:48|200;14395|1:14405|1:14415|1:14425|1:1|800000:48|200,,,
14426,3,4,1:14130:24130:44330;2:14132:24132:44331;3:14133:24133:44332;4:14131:24131:44333,2,1,3,14396|1:1|100000;14406|1:1|200000;14416|1:1|400000;14426|1:1|800000,,48|200;14396|1:1|100000:48|200;14396|1:14406|1:1|200000:48|200;14396|1:14406|1:14416|1:1|400000:48|200;14396|1:14406|1:14416|1:14426|1:1|800000:48|200,,,
14427,3,4,1:14234:24234:44335;2:14236:24236:44336;3:14237:24237:44337;4:14235:24235:44338,2,2,3,14397|1:1|100000;14407|1:1|200000;14417|1:1|400000;14427|1:1|800000,,48|200;14397|1:1|100000:48|200;14397|1:14407|1:1|200000:48|200;14397|1:14407|1:14417|1:1|400000:48|200;14397|1:14407|1:14417|1:14427|1:1|800000:48|200,,,
14428,3,4,1:15131:25131:45330;2:15133:25133:45331;3:15132:25132:45332;4:15130:25130:45333,5,1,3,14398|1:1|100000;14408|1:1|200000;14418|1:1|400000;14428|1:1|800000,,48|200;14398|1:1|100000:48|200;14398|1:14408|1:1|200000:48|200;14398|1:14408|1:14418|1:1|400000:48|200;14398|1:14408|1:14418|1:14428|1:1|800000:48|200,,,
14429,3,4,1:15234:25234:45335;2:15236:25236:45336;3:15237:25237:45337;4:15235:25235:45338,5,2,3,14399|1:1|100000;14409|1:1|200000;14419|1:1|400000;14429|1:1|800000,,48|200;14399|1:1|100000:48|200;14399|1:14409|1:1|200000:48|200;14399|1:14409|1:14419|1:1|400000:48|200;14399|1:14409|1:14419|1:14429|1:1|800000:48|200,,,
14430,3,5,1:11133:21133:41330;2:11136:21136:41331;3:11135:21135:41332;4:11134:21134:41333;5:11135:21135:41334;,1,1,3,14390|1:1|100000;14400|1:1|200000;14410|1:1|400000;14420|1:1|800000;14430|1:1|1600000,,48|500;14390|1:1|100000:48|500;14390|1:14400|1:1|200000:48|500;14390|1:14400|1:14410|1:1|400000:48|500;14390|1:14400|1:14410|1:14420|1:1|800000:48|500;14390|1:14400|1:14410|1:14420|1:14430|1:1|1600000:48|500,,,
14431,3,5,1:11237:21237:41335;2:11239:21239:41336;3:11240:21240:41337;4:11238:21238:41338;5:11240:21240:41339;,1,2,3,14391|1:1|100000;14401|1:1|200000;14411|1:1|400000;14421|1:1|800000;14431|1:1|1600000,,48|500;14391|1:1|100000:48|500;14391|1:14401|1:1|200000:48|500;14391|1:14401|1:14411|1:1|400000:48|500;14391|1:14401|1:14411|1:14421|1:1|800000:48|500;14391|1:14401|1:14411|1:14421|1:14431|1:1|1600000:48|500,,,
14432,3,5,1:12129:22129:42330;2:12131:22131:42331;3:12132:22132:42332;4:12130:22130:42333;5:12132:22132:42334;,4,1,3,14392|1:1|100000;14402|1:1|200000;14412|1:1|400000;14422|1:1|800000;14432|1:1|1600000,,48|500;14392|1:1|100000:48|500;14392|1:14402|1:1|200000:48|500;14392|1:14402|1:14412|1:1|400000:48|500;14392|1:14402|1:14412|1:14422|1:1|800000:48|500;14392|1:14402|1:14412|1:14422|1:14432|1:1|1600000:48|500,,,
14433,3,5,1:12233:22233:42335;2:12235:22235:42336;3:12236:22236:42337;4:12234:22234:42338;5:12236:22236:42339;,4,2,3,14393|1:1|100000;14403|1:1|200000;14413|1:1|400000;14423|1:1|800000;14433|1:1|1600000,,48|500;14393|1:1|100000:48|500;14393|1:14403|1:1|200000:48|500;14393|1:14403|1:14413|1:1|400000:48|500;14393|1:14403|1:14413|1:14423|1:1|800000:48|500;14393|1:14403|1:14413|1:14423|1:14433|1:1|1600000:48|500,,,
14434,3,5,1:13130:23130:43330;2:13132:23132:43331;3:13133:23133:43332;4:13131:23131:43333;5:13133:23133:43334;,3,1,3,14394|1:1|100000;14404|1:1|200000;14414|1:1|400000;14424|1:1|800000;14434|1:1|1600000,,48|500;14394|1:1|100000:48|500;14394|1:14404|1:1|200000:48|500;14394|1:14404|1:14414|1:1|400000:48|500;14394|1:14404|1:14414|1:14424|1:1|800000:48|500;14394|1:14404|1:14414|1:14424|1:14434|1:1|1600000:48|500,,,
14435,3,5,1:13234:23234:43335;2:13236:23236:43336;3:13237:23237:43337;4:13235:23235:43338;5:13237:23237:43339;,3,2,3,14395|1:1|100000;14405|1:1|200000;14415|1:1|400000;14425|1:1|800000;14435|1:1|1600000,,48|500;14395|1:1|100000:48|500;14395|1:14405|1:1|200000:48|500;14395|1:14405|1:14415|1:1|400000:48|500;14395|1:14405|1:14415|1:14425|1:1|800000:48|500;14395|1:14405|1:14415|1:14425|1:14435|1:1|1600000:48|500,,,
14436,3,5,1:14130:24130:44330;2:14132:24132:44331;3:14133:24133:44332;4:14131:24131:44333;5:14133:24133:44334;,2,1,3,14396|1:1|100000;14406|1:1|200000;14416|1:1|400000;14426|1:1|800000;14436|1:1|1600000,,48|500;14396|1:1|100000:48|500;14396|1:14406|1:1|200000:48|500;14396|1:14406|1:14416|1:1|400000:48|500;14396|1:14406|1:14416|1:14426|1:1|800000:48|500;14396|1:14406|1:14416|1:14426|1:14436|1:1|1600000:48|500,,,
14437,3,5,1:14234:24234:44335;2:14236:24236:44336;3:14237:24237:44337;4:14235:24235:44338;5:14237:24237:44339;,2,2,3,14397|1:1|100000;14407|1:1|200000;14417|1:1|400000;14427|1:1|800000;14437|1:1|1600000,,48|500;14397|1:1|100000:48|500;14397|1:14407|1:1|200000:48|500;14397|1:14407|1:14417|1:1|400000:48|500;14397|1:14407|1:14417|1:14427|1:1|800000:48|500;14397|1:14407|1:14417|1:14427|1:14437|1:1|1600000:48|500,,,
14438,3,5,1:15131:25131:45330;2:15133:25133:45331;3:15132:25132:45332;4:15130:25130:45333;5:15132:25132:45334;,5,1,3,14398|1:1|100000;14408|1:1|200000;14418|1:1|400000;14428|1:1|800000;14438|1:1|1600000,,48|500;14398|1:1|100000:48|500;14398|1:14408|1:1|200000:48|500;14398|1:14408|1:14418|1:1|400000:48|500;14398|1:14408|1:14418|1:14428|1:1|800000:48|500;14398|1:14408|1:14418|1:14428|1:14438|1:1|1600000:48|500,,,
14439,3,5,1:15234:25234:45335;2:15236:25236:45336;3:15237:25237:45337;4:15235:25235:45338;5:15237:25237:45339;,5,2,3,14399|1:1|100000;14409|1:1|200000;14419|1:1|400000;14429|1:1|800000;14439|1:1|1600000,,48|500;14399|1:1|100000:48|500;14399|1:14409|1:1|200000:48|500;14399|1:14409|1:14419|1:1|400000:48|500;14399|1:14409|1:14419|1:14429|1:1|800000:48|500;14399|1:14409|1:14419|1:14429|1:14439|1:1|1600000:48|500,,,
