唯一id,商品标识,名称,解锁条件,金额,奖励1,倒计时,价值,弹出次数,是否弹出,累计充值
606,181,试炼之塔1225层特惠礼包,2:1225,328.0,523:2;100:20;141:5;1:300000,43200,580,1,1,2
607,181,试炼之塔1225层特惠礼包,2:1225,648.0,523:2;100:30;141:15;110:20,43200,400,1,1,3
608,182,试炼之塔1250层特惠礼包,2:1250,30.0,517:10;141:1,43200,1400,1,1,1
609,182,试炼之塔1250层特惠礼包,2:1250,328.0,523:2;110:10;141:5;1:300000,43200,580,1,1,2
610,182,试炼之塔1250层特惠礼包,2:1250,648.0,523:2;100:30;141:15;110:20,43200,400,1,1,3
611,183,试炼之塔1275层特惠礼包,2:1275,98.0,841:1;141:1,43200,840,1,1,1
612,183,试炼之塔1275层特惠礼包,2:1275,328.0,523:2;100:20;141:5;1:300000,43200,580,1,1,2
613,183,试炼之塔1275层特惠礼包,2:1275,648.0,523:2;100:30;141:15;110:20,43200,400,1,1,3
614,184,试炼之塔1300层特惠礼包,2:1300,98.0,841:1;141:1,43200,840,1,1,1
615,184,试炼之塔1300层特惠礼包,2:1300,328.0,523:2;110:10;141:5;1:300000,43200,580,1,1,2
616,184,试炼之塔1300层特惠礼包,2:1300,648.0,523:2;100:30;141:15;110:20,43200,400,1,1,3
617,185,试炼之塔1325层特惠礼包,2:1325,98.0,841:1;141:1,43200,840,1,1,1
618,185,试炼之塔1325层特惠礼包,2:1325,328.0,523:2;100:20;141:5;1:300000,43200,580,1,1,2
619,185,试炼之塔1325层特惠礼包,2:1325,648.0,523:2;100:30;141:15;110:20,43200,400,1,1,3
620,186,试炼之塔1350层特惠礼包,2:1350,30.0,517:10;141:1,43200,1400,1,1,1
621,186,试炼之塔1350层特惠礼包,2:1350,328.0,523:2;110:10;141:5;1:300000,43200,580,1,1,2
622,186,试炼之塔1350层特惠礼包,2:1350,648.0,523:2;100:30;141:15;110:20,43200,400,1,1,3
623,187,试炼之塔1375层特惠礼包,2:1375,98.0,841:1;141:1,43200,840,1,1,1
624,187,试炼之塔1375层特惠礼包,2:1375,328.0,523:2;100:20;141:5;1:300000,43200,580,1,1,2
625,187,试炼之塔1375层特惠礼包,2:1375,648.0,523:2;100:30;141:15;110:20,43200,400,1,1,3
626,188,试炼之塔1400层特惠礼包,2:1400,98.0,841:1;141:1,43200,840,1,1,1
627,188,试炼之塔1400层特惠礼包,2:1400,328.0,523:2;110:10;141:5;1:300000,43200,580,1,1,2
628,188,试炼之塔1400层特惠礼包,2:1400,648.0,523:2;100:30;141:15;110:20,43200,400,1,1,3
629,189,试炼之塔1425层特惠礼包,2:1425,98.0,841:1;141:1,43200,840,1,1,1
630,189,试炼之塔1425层特惠礼包,2:1425,328.0,523:2;100:20;141:5;1:300000,43200,580,1,1,2
631,189,试炼之塔1425层特惠礼包,2:1425,648.0,523:2;100:30;141:15;110:20,43200,400,1,1,3
632,190,试炼之塔1450层特惠礼包,2:1450,30.0,517:10;141:1,43200,1400,1,1,1
633,190,试炼之塔1450层特惠礼包,2:1450,328.0,523:2;110:10;141:5;1:300000,43200,580,1,1,2
634,190,试炼之塔1450层特惠礼包,2:1450,648.0,523:2;100:30;141:15;110:20,43200,400,1,1,3
635,191,试炼之塔1475层特惠礼包,2:1475,98.0,841:1;141:1,43200,840,1,1,1
636,191,试炼之塔1475层特惠礼包,2:1475,328.0,523:2;100:20;141:5;1:300000,43200,580,1,1,2
637,191,试炼之塔1475层特惠礼包,2:1475,648.0,523:2;100:30;141:15;110:20,43200,400,1,1,3
638,192,试炼之塔1500层特惠礼包,2:1500,98.0,841:1;141:1,43200,840,1,1,1
639,192,试炼之塔1500层特惠礼包,2:1500,328.0,523:2;110:10;141:5;1:300000,43200,580,1,1,2
640,192,试炼之塔1500层特惠礼包,2:1500,648.0,523:2;100:30;141:15;110:20,43200,400,1,1,3
641,193,伙伴140级提升礼包,18:140,98.0,607:1;100:30;5:600000,43200,530,1,1,1
642,193,伙伴140级提升礼包,18:140,328.0,608:1;100:70;5:600000,43200,400,1,1,2
643,193,伙伴140级提升礼包,18:140,648.0,609:1;100:100;5:600000,43200,480,1,1,3
644,194,伙伴150级提升礼包,18:150,98.0,607:1;100:30;5:600000,43200,530,1,1,1
645,194,伙伴150级提升礼包,18:150,328.0,608:1;100:70;5:600000,43200,400,1,1,2
646,194,伙伴150级提升礼包,18:150,648.0,609:1;100:100;5:600000,43200,480,1,1,3
647,195,伙伴160级提升礼包,18:160,98.0,607:1;100:30;5:600000,43200,530,1,1,1
648,195,伙伴160级提升礼包,18:160,328.0,608:1;100:70;5:600000,43200,400,1,1,2
649,195,伙伴160级提升礼包,18:160,648.0,609:1;100:100;5:600000,43200,480,1,1,3
650,196,伙伴170级提升礼包,18:170,98.0,607:1;100:30;5:600000,43200,530,1,1,1
651,196,伙伴170级提升礼包,18:170,328.0,608:1;100:70;5:600000,43200,400,1,1,2
652,196,伙伴170级提升礼包,18:170,648.0,609:1;100:100;5:600000,43200,480,1,1,3
653,197,伙伴突破+9提升礼包,17:9,98.0,110:25;11:220000,43200,500,1,1,1
654,197,伙伴突破+9提升礼包,17:9,328.0,110:30;11:500000;523:1,43200,500,1,1,2
655,197,伙伴突破+9提升礼包,17:9,648.0,110:40;11:1000000;523:2;2:3000,43200,500,1,1,3
656,198,伙伴突破+10提升礼包,17:10,98.0,110:25;11:240000,43200,500,1,1,1
657,198,伙伴突破+10提升礼包,17:10,328.0,110:30;11:500000;523:1,43200,500,1,1,2
658,198,伙伴突破+10提升礼包,17:10,648.0,110:40;11:1000000;523:2;2:3000,43200,500,1,1,3
