唯一id,最长战斗时间,关卡奖励,怪物等级,特殊奖励,战力校验,蓝量加成,战力削弱,停留时间削弱,版本,卡槽解锁,查封配置
510,90,5:157020,5708,12122:1;16006:1,84727,20:50,,20;9:-1;10:-1;19:-1|40;9:-1;10:-1;19:-2|60;9:-2;10:-2;19:-3|90;9:-2;10:-2;19:-4|120;9:-3;10:-3;19:-5|180;9:-3;10:-3;19:-5|240;9:-4;10:-4;19:-6|300;9:-4;10:-4;19:-7|360;9:-5;10:-5;19:-8|420;9:-5;10:-5;19:-9|480;9:-6;10:-6;19:-10|540;9:-6;10:-6;19:-10|600;9:-7;10:-7;19:-11|660;9:-7;10:-7;19:-12|720;9:-8;10:-8;19:-13|780;9:-8;10:-8;19:-14|840;9:-9;10:-9;19:-15|900;9:-9;10:-9;19:-15|1020;9:-10;10:-10;19:-16|1140;9:-10;10:-10;19:-17|1260;9:-11;10:-11;19:-18|1380;9:-11;10:-11;19:-19|1500;9:-12;10:-12;19:-20|1800;9:-12;10:-12;19:-20|2100;9:-13;10:-13;19:-21|2400;9:-13;10:-13;19:-22|2700;9:-14;10:-14;19:-23|3000;9:-14;10:-14;19:-24|3300;9:-15;10:-15;19:-25|3600;9:-15;10:-15;19:-25,7,,6;2000
511,90,5:157770,5763,,84727,20:50,,20;9:-1;10:-1;19:-1|40;9:-1;10:-1;19:-2|60;9:-2;10:-2;19:-3|90;9:-2;10:-2;19:-4|120;9:-3;10:-3;19:-5|180;9:-3;10:-3;19:-5|240;9:-4;10:-4;19:-6|300;9:-4;10:-4;19:-7|360;9:-5;10:-5;19:-8|420;9:-5;10:-5;19:-9|480;9:-6;10:-6;19:-10|540;9:-6;10:-6;19:-10|600;9:-7;10:-7;19:-11|660;9:-7;10:-7;19:-12|720;9:-8;10:-8;19:-13|780;9:-8;10:-8;19:-14|840;9:-9;10:-9;19:-15|900;9:-9;10:-9;19:-15|1020;9:-10;10:-10;19:-16|1140;9:-10;10:-10;19:-17|1260;9:-11;10:-11;19:-18|1380;9:-11;10:-11;19:-19|1500;9:-12;10:-12;19:-20|1800;9:-12;10:-12;19:-20|2100;9:-13;10:-13;19:-21|2400;9:-13;10:-13;19:-22|2700;9:-14;10:-14;19:-23|3000;9:-14;10:-14;19:-24|3300;9:-15;10:-15;19:-25|3600;9:-15;10:-15;19:-25,7,,6;2000
512,90,5:157780,5818,,84868,20:50,,20;9:-1;10:-1;19:-1|40;9:-1;10:-1;19:-2|60;9:-2;10:-2;19:-3|90;9:-2;10:-2;19:-4|120;9:-3;10:-3;19:-5|180;9:-3;10:-3;19:-5|240;9:-4;10:-4;19:-6|300;9:-4;10:-4;19:-7|360;9:-5;10:-5;19:-8|420;9:-5;10:-5;19:-9|480;9:-6;10:-6;19:-10|540;9:-6;10:-6;19:-10|600;9:-7;10:-7;19:-11|660;9:-7;10:-7;19:-12|720;9:-8;10:-8;19:-13|780;9:-8;10:-8;19:-14|840;9:-9;10:-9;19:-15|900;9:-9;10:-9;19:-15|1020;9:-10;10:-10;19:-16|1140;9:-10;10:-10;19:-17|1260;9:-11;10:-11;19:-18|1380;9:-11;10:-11;19:-19|1500;9:-12;10:-12;19:-20|1800;9:-12;10:-12;19:-20|2100;9:-13;10:-13;19:-21|2400;9:-13;10:-13;19:-22|2700;9:-14;10:-14;19:-23|3000;9:-14;10:-14;19:-24|3300;9:-15;10:-15;19:-25|3600;9:-15;10:-15;19:-25,7,,6;2000
513,90,5:157800,5873,,84868,20:50,,20;9:-1;10:-1;19:-1|40;9:-1;10:-1;19:-2|60;9:-2;10:-2;19:-3|90;9:-2;10:-2;19:-4|120;9:-3;10:-3;19:-5|180;9:-3;10:-3;19:-5|240;9:-4;10:-4;19:-6|300;9:-4;10:-4;19:-7|360;9:-5;10:-5;19:-8|420;9:-5;10:-5;19:-9|480;9:-6;10:-6;19:-10|540;9:-6;10:-6;19:-10|600;9:-7;10:-7;19:-11|660;9:-7;10:-7;19:-12|720;9:-8;10:-8;19:-13|780;9:-8;10:-8;19:-14|840;9:-9;10:-9;19:-15|900;9:-9;10:-9;19:-15|1020;9:-10;10:-10;19:-16|1140;9:-10;10:-10;19:-17|1260;9:-11;10:-11;19:-18|1380;9:-11;10:-11;19:-19|1500;9:-12;10:-12;19:-20|1800;9:-12;10:-12;19:-20|2100;9:-13;10:-13;19:-21|2400;9:-13;10:-13;19:-22|2700;9:-14;10:-14;19:-23|3000;9:-14;10:-14;19:-24|3300;9:-15;10:-15;19:-25|3600;9:-15;10:-15;19:-25,7,,6;2000
514,90,5:157810,5988,,84868,20:50,,20;9:-1;10:-1;19:-1|40;9:-1;10:-1;19:-2|60;9:-2;10:-2;19:-3|90;9:-2;10:-2;19:-4|120;9:-3;10:-3;19:-5|180;9:-3;10:-3;19:-5|240;9:-4;10:-4;19:-6|300;9:-4;10:-4;19:-7|360;9:-5;10:-5;19:-8|420;9:-5;10:-5;19:-9|480;9:-6;10:-6;19:-10|540;9:-6;10:-6;19:-10|600;9:-7;10:-7;19:-11|660;9:-7;10:-7;19:-12|720;9:-8;10:-8;19:-13|780;9:-8;10:-8;19:-14|840;9:-9;10:-9;19:-15|900;9:-9;10:-9;19:-15|1020;9:-10;10:-10;19:-16|1140;9:-10;10:-10;19:-17|1260;9:-11;10:-11;19:-18|1380;9:-11;10:-11;19:-19|1500;9:-12;10:-12;19:-20|1800;9:-12;10:-12;19:-20|2100;9:-13;10:-13;19:-21|2400;9:-13;10:-13;19:-22|2700;9:-14;10:-14;19:-23|3000;9:-14;10:-14;19:-24|3300;9:-15;10:-15;19:-25|3600;9:-15;10:-15;19:-25,7,,
515,90,5:157830,6044,12121:1,84868,20:50,,20;9:-1;10:-1;19:-1|40;9:-1;10:-1;19:-2|60;9:-2;10:-2;19:-3|90;9:-2;10:-2;19:-4|120;9:-3;10:-3;19:-5|180;9:-3;10:-3;19:-5|240;9:-4;10:-4;19:-6|300;9:-4;10:-4;19:-7|360;9:-5;10:-5;19:-8|420;9:-5;10:-5;19:-9|480;9:-6;10:-6;19:-10|540;9:-6;10:-6;19:-10|600;9:-7;10:-7;19:-11|660;9:-7;10:-7;19:-12|720;9:-8;10:-8;19:-13|780;9:-8;10:-8;19:-14|840;9:-9;10:-9;19:-15|900;9:-9;10:-9;19:-15|1020;9:-10;10:-10;19:-16|1140;9:-10;10:-10;19:-17|1260;9:-11;10:-11;19:-18|1380;9:-11;10:-11;19:-19|1500;9:-12;10:-12;19:-20|1800;9:-12;10:-12;19:-20|2100;9:-13;10:-13;19:-21|2400;9:-13;10:-13;19:-22|2700;9:-14;10:-14;19:-23|3000;9:-14;10:-14;19:-24|3300;9:-15;10:-15;19:-25|3600;9:-15;10:-15;19:-25,7,,6;2000
516,90,5:157850,6099,,84997,20:50,,20;9:-1;10:-1;19:-1|40;9:-1;10:-1;19:-2|60;9:-2;10:-2;19:-3|90;9:-2;10:-2;19:-4|120;9:-3;10:-3;19:-5|180;9:-3;10:-3;19:-5|240;9:-4;10:-4;19:-6|300;9:-4;10:-4;19:-7|360;9:-5;10:-5;19:-8|420;9:-5;10:-5;19:-9|480;9:-6;10:-6;19:-10|540;9:-6;10:-6;19:-10|600;9:-7;10:-7;19:-11|660;9:-7;10:-7;19:-12|720;9:-8;10:-8;19:-13|780;9:-8;10:-8;19:-14|840;9:-9;10:-9;19:-15|900;9:-9;10:-9;19:-15|1020;9:-10;10:-10;19:-16|1140;9:-10;10:-10;19:-17|1260;9:-11;10:-11;19:-18|1380;9:-11;10:-11;19:-19|1500;9:-12;10:-12;19:-20|1800;9:-12;10:-12;19:-20|2100;9:-13;10:-13;19:-21|2400;9:-13;10:-13;19:-22|2700;9:-14;10:-14;19:-23|3000;9:-14;10:-14;19:-24|3300;9:-15;10:-15;19:-25|3600;9:-15;10:-15;19:-25,7,,6;2000
517,90,5:157860,6303,,84997,20:50,,20;9:-1;10:-1;19:-1|40;9:-1;10:-1;19:-2|60;9:-2;10:-2;19:-3|90;9:-2;10:-2;19:-4|120;9:-3;10:-3;19:-5|180;9:-3;10:-3;19:-5|240;9:-4;10:-4;19:-6|300;9:-4;10:-4;19:-7|360;9:-5;10:-5;19:-8|420;9:-5;10:-5;19:-9|480;9:-6;10:-6;19:-10|540;9:-6;10:-6;19:-10|600;9:-7;10:-7;19:-11|660;9:-7;10:-7;19:-12|720;9:-8;10:-8;19:-13|780;9:-8;10:-8;19:-14|840;9:-9;10:-9;19:-15|900;9:-9;10:-9;19:-15|1020;9:-10;10:-10;19:-16|1140;9:-10;10:-10;19:-17|1260;9:-11;10:-11;19:-18|1380;9:-11;10:-11;19:-19|1500;9:-12;10:-12;19:-20|1800;9:-12;10:-12;19:-20|2100;9:-13;10:-13;19:-21|2400;9:-13;10:-13;19:-22|2700;9:-14;10:-14;19:-23|3000;9:-14;10:-14;19:-24|3300;9:-15;10:-15;19:-25|3600;9:-15;10:-15;19:-25,7,,6;2000
518,90,5:157880,6360,,84997,20:50,,20;9:-1;10:-1;19:-1|40;9:-1;10:-1;19:-2|60;9:-2;10:-2;19:-3|90;9:-2;10:-2;19:-4|120;9:-3;10:-3;19:-5|180;9:-3;10:-3;19:-5|240;9:-4;10:-4;19:-6|300;9:-4;10:-4;19:-7|360;9:-5;10:-5;19:-8|420;9:-5;10:-5;19:-9|480;9:-6;10:-6;19:-10|540;9:-6;10:-6;19:-10|600;9:-7;10:-7;19:-11|660;9:-7;10:-7;19:-12|720;9:-8;10:-8;19:-13|780;9:-8;10:-8;19:-14|840;9:-9;10:-9;19:-15|900;9:-9;10:-9;19:-15|1020;9:-10;10:-10;19:-16|1140;9:-10;10:-10;19:-17|1260;9:-11;10:-11;19:-18|1380;9:-11;10:-11;19:-19|1500;9:-12;10:-12;19:-20|1800;9:-12;10:-12;19:-20|2100;9:-13;10:-13;19:-21|2400;9:-13;10:-13;19:-22|2700;9:-14;10:-14;19:-23|3000;9:-14;10:-14;19:-24|3300;9:-15;10:-15;19:-25|3600;9:-15;10:-15;19:-25,7,,6;2000
519,90,5:157890,6417,,85236,20:50,,20;9:-1;10:-1;19:-1|40;9:-1;10:-1;19:-2|60;9:-2;10:-2;19:-3|90;9:-2;10:-2;19:-4|120;9:-3;10:-3;19:-5|180;9:-3;10:-3;19:-5|240;9:-4;10:-4;19:-6|300;9:-4;10:-4;19:-7|360;9:-5;10:-5;19:-8|420;9:-5;10:-5;19:-9|480;9:-6;10:-6;19:-10|540;9:-6;10:-6;19:-10|600;9:-7;10:-7;19:-11|660;9:-7;10:-7;19:-12|720;9:-8;10:-8;19:-13|780;9:-8;10:-8;19:-14|840;9:-9;10:-9;19:-15|900;9:-9;10:-9;19:-15|1020;9:-10;10:-10;19:-16|1140;9:-10;10:-10;19:-17|1260;9:-11;10:-11;19:-18|1380;9:-11;10:-11;19:-19|1500;9:-12;10:-12;19:-20|1800;9:-12;10:-12;19:-20|2100;9:-13;10:-13;19:-21|2400;9:-13;10:-13;19:-22|2700;9:-14;10:-14;19:-23|3000;9:-14;10:-14;19:-24|3300;9:-15;10:-15;19:-25|3600;9:-15;10:-15;19:-25,7,,
520,90,5:157910,6520,12122:1,85236,20:50,,20;9:-1;10:-1;19:-1|40;9:-1;10:-1;19:-2|60;9:-2;10:-2;19:-3|90;9:-2;10:-2;19:-4|120;9:-3;10:-3;19:-5|180;9:-3;10:-3;19:-5|240;9:-4;10:-4;19:-6|300;9:-4;10:-4;19:-7|360;9:-5;10:-5;19:-8|420;9:-5;10:-5;19:-9|480;9:-6;10:-6;19:-10|540;9:-6;10:-6;19:-10|600;9:-7;10:-7;19:-11|660;9:-7;10:-7;19:-12|720;9:-8;10:-8;19:-13|780;9:-8;10:-8;19:-14|840;9:-9;10:-9;19:-15|900;9:-9;10:-9;19:-15|1020;9:-10;10:-10;19:-16|1140;9:-10;10:-10;19:-17|1260;9:-11;10:-11;19:-18|1380;9:-11;10:-11;19:-19|1500;9:-12;10:-12;19:-20|1800;9:-12;10:-12;19:-20|2100;9:-13;10:-13;19:-21|2400;9:-13;10:-13;19:-22|2700;9:-14;10:-14;19:-23|3000;9:-14;10:-14;19:-24|3300;9:-15;10:-15;19:-25|3600;9:-15;10:-15;19:-25,7,,6;2000
521,90,5:157940,5433,,85236,20:50,,20;9:-1;10:-1;19:-1|40;9:-1;10:-1;19:-2|60;9:-2;10:-2;19:-3|90;9:-2;10:-2;19:-4|120;9:-3;10:-3;19:-5|180;9:-3;10:-3;19:-5|240;9:-4;10:-4;19:-6|300;9:-4;10:-4;19:-7|360;9:-5;10:-5;19:-8|420;9:-5;10:-5;19:-9|480;9:-6;10:-6;19:-10|540;9:-6;10:-6;19:-10|600;9:-7;10:-7;19:-11|660;9:-7;10:-7;19:-12|720;9:-8;10:-8;19:-13|780;9:-8;10:-8;19:-14|840;9:-9;10:-9;19:-15|900;9:-9;10:-9;19:-15|1020;9:-10;10:-10;19:-16|1140;9:-10;10:-10;19:-17|1260;9:-11;10:-11;19:-18|1380;9:-11;10:-11;19:-19|1500;9:-12;10:-12;19:-20|1800;9:-12;10:-12;19:-20|2100;9:-13;10:-13;19:-21|2400;9:-13;10:-13;19:-22|2700;9:-14;10:-14;19:-23|3000;9:-14;10:-14;19:-24|3300;9:-15;10:-15;19:-25|3600;9:-15;10:-15;19:-25,7,,6;2000
522,90,5:157960,5491,,85236,20:50,,20;9:-1;10:-1;19:-1|40;9:-1;10:-1;19:-2|60;9:-2;10:-2;19:-3|90;9:-2;10:-2;19:-4|120;9:-3;10:-3;19:-5|180;9:-3;10:-3;19:-5|240;9:-4;10:-4;19:-6|300;9:-4;10:-4;19:-7|360;9:-5;10:-5;19:-8|420;9:-5;10:-5;19:-9|480;9:-6;10:-6;19:-10|540;9:-6;10:-6;19:-10|600;9:-7;10:-7;19:-11|660;9:-7;10:-7;19:-12|720;9:-8;10:-8;19:-13|780;9:-8;10:-8;19:-14|840;9:-9;10:-9;19:-15|900;9:-9;10:-9;19:-15|1020;9:-10;10:-10;19:-16|1140;9:-10;10:-10;19:-17|1260;9:-11;10:-11;19:-18|1380;9:-11;10:-11;19:-19|1500;9:-12;10:-12;19:-20|1800;9:-12;10:-12;19:-20|2100;9:-13;10:-13;19:-21|2400;9:-13;10:-13;19:-22|2700;9:-14;10:-14;19:-23|3000;9:-14;10:-14;19:-24|3300;9:-15;10:-15;19:-25|3600;9:-15;10:-15;19:-25,7,,6;2000
523,90,5:157970,5548,,86415,20:50,,20;9:-1;10:-1;19:-1|40;9:-1;10:-1;19:-2|60;9:-2;10:-2;19:-3|90;9:-2;10:-2;19:-4|120;9:-3;10:-3;19:-5|180;9:-3;10:-3;19:-5|240;9:-4;10:-4;19:-6|300;9:-4;10:-4;19:-7|360;9:-5;10:-5;19:-8|420;9:-5;10:-5;19:-9|480;9:-6;10:-6;19:-10|540;9:-6;10:-6;19:-10|600;9:-7;10:-7;19:-11|660;9:-7;10:-7;19:-12|720;9:-8;10:-8;19:-13|780;9:-8;10:-8;19:-14|840;9:-9;10:-9;19:-15|900;9:-9;10:-9;19:-15|1020;9:-10;10:-10;19:-16|1140;9:-10;10:-10;19:-17|1260;9:-11;10:-11;19:-18|1380;9:-11;10:-11;19:-19|1500;9:-12;10:-12;19:-20|1800;9:-12;10:-12;19:-20|2100;9:-13;10:-13;19:-21|2400;9:-13;10:-13;19:-22|2700;9:-14;10:-14;19:-23|3000;9:-14;10:-14;19:-24|3300;9:-15;10:-15;19:-25|3600;9:-15;10:-15;19:-25,7,,6;2000
524,90,5:157990,5611,,86415,20:50,,20;9:-1;10:-1;19:-1|40;9:-1;10:-1;19:-2|60;9:-2;10:-2;19:-3|90;9:-2;10:-2;19:-4|120;9:-3;10:-3;19:-5|180;9:-3;10:-3;19:-5|240;9:-4;10:-4;19:-6|300;9:-4;10:-4;19:-7|360;9:-5;10:-5;19:-8|420;9:-5;10:-5;19:-9|480;9:-6;10:-6;19:-10|540;9:-6;10:-6;19:-10|600;9:-7;10:-7;19:-11|660;9:-7;10:-7;19:-12|720;9:-8;10:-8;19:-13|780;9:-8;10:-8;19:-14|840;9:-9;10:-9;19:-15|900;9:-9;10:-9;19:-15|1020;9:-10;10:-10;19:-16|1140;9:-10;10:-10;19:-17|1260;9:-11;10:-11;19:-18|1380;9:-11;10:-11;19:-19|1500;9:-12;10:-12;19:-20|1800;9:-12;10:-12;19:-20|2100;9:-13;10:-13;19:-21|2400;9:-13;10:-13;19:-22|2700;9:-14;10:-14;19:-23|3000;9:-14;10:-14;19:-24|3300;9:-15;10:-15;19:-25|3600;9:-15;10:-15;19:-25,7,,
525,90,5:158000,5668,12121:1,86415,20:50,,20;9:-1;10:-1;19:-1|40;9:-1;10:-1;19:-2|60;9:-2;10:-2;19:-3|90;9:-2;10:-2;19:-4|120;9:-3;10:-3;19:-5|180;9:-3;10:-3;19:-5|240;9:-4;10:-4;19:-6|300;9:-4;10:-4;19:-7|360;9:-5;10:-5;19:-8|420;9:-5;10:-5;19:-9|480;9:-6;10:-6;19:-10|540;9:-6;10:-6;19:-10|600;9:-7;10:-7;19:-11|660;9:-7;10:-7;19:-12|720;9:-8;10:-8;19:-13|780;9:-8;10:-8;19:-14|840;9:-9;10:-9;19:-15|900;9:-9;10:-9;19:-15|1020;9:-10;10:-10;19:-16|1140;9:-10;10:-10;19:-17|1260;9:-11;10:-11;19:-18|1380;9:-11;10:-11;19:-19|1500;9:-12;10:-12;19:-20|1800;9:-12;10:-12;19:-20|2100;9:-13;10:-13;19:-21|2400;9:-13;10:-13;19:-22|2700;9:-14;10:-14;19:-23|3000;9:-14;10:-14;19:-24|3300;9:-15;10:-15;19:-25|3600;9:-15;10:-15;19:-25,7,,6;2000
526,90,5:158020,5726,,86544,20:50,,20;9:-1;10:-1;19:-1|40;9:-1;10:-1;19:-2|60;9:-2;10:-2;19:-3|90;9:-2;10:-2;19:-4|120;9:-3;10:-3;19:-5|180;9:-3;10:-3;19:-5|240;9:-4;10:-4;19:-6|300;9:-4;10:-4;19:-7|360;9:-5;10:-5;19:-8|420;9:-5;10:-5;19:-9|480;9:-6;10:-6;19:-10|540;9:-6;10:-6;19:-10|600;9:-7;10:-7;19:-11|660;9:-7;10:-7;19:-12|720;9:-8;10:-8;19:-13|780;9:-8;10:-8;19:-14|840;9:-9;10:-9;19:-15|900;9:-9;10:-9;19:-15|1020;9:-10;10:-10;19:-16|1140;9:-10;10:-10;19:-17|1260;9:-11;10:-11;19:-18|1380;9:-11;10:-11;19:-19|1500;9:-12;10:-12;19:-20|1800;9:-12;10:-12;19:-20|2100;9:-13;10:-13;19:-21|2400;9:-13;10:-13;19:-22|2700;9:-14;10:-14;19:-23|3000;9:-14;10:-14;19:-24|3300;9:-15;10:-15;19:-25|3600;9:-15;10:-15;19:-25,7,,6;2000
527,90,5:158040,5790,,86544,20:50,,20;9:-1;10:-1;19:-1|40;9:-1;10:-1;19:-2|60;9:-2;10:-2;19:-3|90;9:-2;10:-2;19:-4|120;9:-3;10:-3;19:-5|180;9:-3;10:-3;19:-5|240;9:-4;10:-4;19:-6|300;9:-4;10:-4;19:-7|360;9:-5;10:-5;19:-8|420;9:-5;10:-5;19:-9|480;9:-6;10:-6;19:-10|540;9:-6;10:-6;19:-10|600;9:-7;10:-7;19:-11|660;9:-7;10:-7;19:-12|720;9:-8;10:-8;19:-13|780;9:-8;10:-8;19:-14|840;9:-9;10:-9;19:-15|900;9:-9;10:-9;19:-15|1020;9:-10;10:-10;19:-16|1140;9:-10;10:-10;19:-17|1260;9:-11;10:-11;19:-18|1380;9:-11;10:-11;19:-19|1500;9:-12;10:-12;19:-20|1800;9:-12;10:-12;19:-20|2100;9:-13;10:-13;19:-21|2400;9:-13;10:-13;19:-22|2700;9:-14;10:-14;19:-23|3000;9:-14;10:-14;19:-24|3300;9:-15;10:-15;19:-25|3600;9:-15;10:-15;19:-25,7,,6;2000
528,90,5:158050,5847,,86544,20:50,,20;9:-1;10:-1;19:-1|40;9:-1;10:-1;19:-2|60;9:-2;10:-2;19:-3|90;9:-2;10:-2;19:-4|120;9:-3;10:-3;19:-5|180;9:-3;10:-3;19:-5|240;9:-4;10:-4;19:-6|300;9:-4;10:-4;19:-7|360;9:-5;10:-5;19:-8|420;9:-5;10:-5;19:-9|480;9:-6;10:-6;19:-10|540;9:-6;10:-6;19:-10|600;9:-7;10:-7;19:-11|660;9:-7;10:-7;19:-12|720;9:-8;10:-8;19:-13|780;9:-8;10:-8;19:-14|840;9:-9;10:-9;19:-15|900;9:-9;10:-9;19:-15|1020;9:-10;10:-10;19:-16|1140;9:-10;10:-10;19:-17|1260;9:-11;10:-11;19:-18|1380;9:-11;10:-11;19:-19|1500;9:-12;10:-12;19:-20|1800;9:-12;10:-12;19:-20|2100;9:-13;10:-13;19:-21|2400;9:-13;10:-13;19:-22|2700;9:-14;10:-14;19:-23|3000;9:-14;10:-14;19:-24|3300;9:-15;10:-15;19:-25|3600;9:-15;10:-15;19:-25,7,,6;2000
529,90,5:158070,5904,,86672,20:50,,20;9:-1;10:-1;19:-1|40;9:-1;10:-1;19:-2|60;9:-2;10:-2;19:-3|90;9:-2;10:-2;19:-4|120;9:-3;10:-3;19:-5|180;9:-3;10:-3;19:-5|240;9:-4;10:-4;19:-6|300;9:-4;10:-4;19:-7|360;9:-5;10:-5;19:-8|420;9:-5;10:-5;19:-9|480;9:-6;10:-6;19:-10|540;9:-6;10:-6;19:-10|600;9:-7;10:-7;19:-11|660;9:-7;10:-7;19:-12|720;9:-8;10:-8;19:-13|780;9:-8;10:-8;19:-14|840;9:-9;10:-9;19:-15|900;9:-9;10:-9;19:-15|1020;9:-10;10:-10;19:-16|1140;9:-10;10:-10;19:-17|1260;9:-11;10:-11;19:-18|1380;9:-11;10:-11;19:-19|1500;9:-12;10:-12;19:-20|1800;9:-12;10:-12;19:-20|2100;9:-13;10:-13;19:-21|2400;9:-13;10:-13;19:-22|2700;9:-14;10:-14;19:-23|3000;9:-14;10:-14;19:-24|3300;9:-15;10:-15;19:-25|3600;9:-15;10:-15;19:-25,7,,
530,90,5:158080,5976,12122:1,86672,20:50,,20;9:-1;10:-1;19:-1|40;9:-1;10:-1;19:-2|60;9:-2;10:-2;19:-3|90;9:-2;10:-2;19:-4|120;9:-3;10:-3;19:-5|180;9:-3;10:-3;19:-5|240;9:-4;10:-4;19:-6|300;9:-4;10:-4;19:-7|360;9:-5;10:-5;19:-8|420;9:-5;10:-5;19:-9|480;9:-6;10:-6;19:-10|540;9:-6;10:-6;19:-10|600;9:-7;10:-7;19:-11|660;9:-7;10:-7;19:-12|720;9:-8;10:-8;19:-13|780;9:-8;10:-8;19:-14|840;9:-9;10:-9;19:-15|900;9:-9;10:-9;19:-15|1020;9:-10;10:-10;19:-16|1140;9:-10;10:-10;19:-17|1260;9:-11;10:-11;19:-18|1380;9:-11;10:-11;19:-19|1500;9:-12;10:-12;19:-20|1800;9:-12;10:-12;19:-20|2100;9:-13;10:-13;19:-21|2400;9:-13;10:-13;19:-22|2700;9:-14;10:-14;19:-23|3000;9:-14;10:-14;19:-24|3300;9:-15;10:-15;19:-25|3600;9:-15;10:-15;19:-25,7,,6;2000
531,90,5:158830,6033,,86672,20:50,,20;9:-1;10:-1;19:-1|40;9:-1;10:-1;19:-2|60;9:-2;10:-2;19:-3|90;9:-2;10:-2;19:-4|120;9:-3;10:-3;19:-5|180;9:-3;10:-3;19:-5|240;9:-4;10:-4;19:-6|300;9:-4;10:-4;19:-7|360;9:-5;10:-5;19:-8|420;9:-5;10:-5;19:-9|480;9:-6;10:-6;19:-10|540;9:-6;10:-6;19:-10|600;9:-7;10:-7;19:-11|660;9:-7;10:-7;19:-12|720;9:-8;10:-8;19:-13|780;9:-8;10:-8;19:-14|840;9:-9;10:-9;19:-15|900;9:-9;10:-9;19:-15|1020;9:-10;10:-10;19:-16|1140;9:-10;10:-10;19:-17|1260;9:-11;10:-11;19:-18|1380;9:-11;10:-11;19:-19|1500;9:-12;10:-12;19:-20|1800;9:-12;10:-12;19:-20|2100;9:-13;10:-13;19:-21|2400;9:-13;10:-13;19:-22|2700;9:-14;10:-14;19:-23|3000;9:-14;10:-14;19:-24|3300;9:-15;10:-15;19:-25|3600;9:-15;10:-15;19:-25,7,,6;2000
532,90,5:158840,6090,,86672,20:50,,20;9:-1;10:-1;19:-1|40;9:-1;10:-1;19:-2|60;9:-2;10:-2;19:-3|90;9:-2;10:-2;19:-4|120;9:-3;10:-3;19:-5|180;9:-3;10:-3;19:-5|240;9:-4;10:-4;19:-6|300;9:-4;10:-4;19:-7|360;9:-5;10:-5;19:-8|420;9:-5;10:-5;19:-9|480;9:-6;10:-6;19:-10|540;9:-6;10:-6;19:-10|600;9:-7;10:-7;19:-11|660;9:-7;10:-7;19:-12|720;9:-8;10:-8;19:-13|780;9:-8;10:-8;19:-14|840;9:-9;10:-9;19:-15|900;9:-9;10:-9;19:-15|1020;9:-10;10:-10;19:-16|1140;9:-10;10:-10;19:-17|1260;9:-11;10:-11;19:-18|1380;9:-11;10:-11;19:-19|1500;9:-12;10:-12;19:-20|1800;9:-12;10:-12;19:-20|2100;9:-13;10:-13;19:-21|2400;9:-13;10:-13;19:-22|2700;9:-14;10:-14;19:-23|3000;9:-14;10:-14;19:-24|3300;9:-15;10:-15;19:-25|3600;9:-15;10:-15;19:-25,7,,6;2000
533,90,5:158860,6148,,86805,20:50,,20;9:-1;10:-1;19:-1|40;9:-1;10:-1;19:-2|60;9:-2;10:-2;19:-3|90;9:-2;10:-2;19:-4|120;9:-3;10:-3;19:-5|180;9:-3;10:-3;19:-5|240;9:-4;10:-4;19:-6|300;9:-4;10:-4;19:-7|360;9:-5;10:-5;19:-8|420;9:-5;10:-5;19:-9|480;9:-6;10:-6;19:-10|540;9:-6;10:-6;19:-10|600;9:-7;10:-7;19:-11|660;9:-7;10:-7;19:-12|720;9:-8;10:-8;19:-13|780;9:-8;10:-8;19:-14|840;9:-9;10:-9;19:-15|900;9:-9;10:-9;19:-15|1020;9:-10;10:-10;19:-16|1140;9:-10;10:-10;19:-17|1260;9:-11;10:-11;19:-18|1380;9:-11;10:-11;19:-19|1500;9:-12;10:-12;19:-20|1800;9:-12;10:-12;19:-20|2100;9:-13;10:-13;19:-21|2400;9:-13;10:-13;19:-22|2700;9:-14;10:-14;19:-23|3000;9:-14;10:-14;19:-24|3300;9:-15;10:-15;19:-25|3600;9:-15;10:-15;19:-25,7,,6;2000
534,90,5:158870,6212,,86805,20:50,,20;9:-1;10:-1;19:-1|40;9:-1;10:-1;19:-2|60;9:-2;10:-2;19:-3|90;9:-2;10:-2;19:-4|120;9:-3;10:-3;19:-5|180;9:-3;10:-3;19:-5|240;9:-4;10:-4;19:-6|300;9:-4;10:-4;19:-7|360;9:-5;10:-5;19:-8|420;9:-5;10:-5;19:-9|480;9:-6;10:-6;19:-10|540;9:-6;10:-6;19:-10|600;9:-7;10:-7;19:-11|660;9:-7;10:-7;19:-12|720;9:-8;10:-8;19:-13|780;9:-8;10:-8;19:-14|840;9:-9;10:-9;19:-15|900;9:-9;10:-9;19:-15|1020;9:-10;10:-10;19:-16|1140;9:-10;10:-10;19:-17|1260;9:-11;10:-11;19:-18|1380;9:-11;10:-11;19:-19|1500;9:-12;10:-12;19:-20|1800;9:-12;10:-12;19:-20|2100;9:-13;10:-13;19:-21|2400;9:-13;10:-13;19:-22|2700;9:-14;10:-14;19:-23|3000;9:-14;10:-14;19:-24|3300;9:-15;10:-15;19:-25|3600;9:-15;10:-15;19:-25,7,,
